#REF!;;#REF!;;;
Numéro d'Indentification;Genre;Village;Latitude du Village;Longitude du Village;
T01;Homme;Kokorou;13,95;0,94;
T02;Femme;Kokorou;13,95;0,94;
T03;Femme;Kokorou;13,95;0,94;
T04;Homme;Kokorou;13,95;0,94;
T05;Homme;Kokorou;13,95;0,94;
T06;Homme;Kokorou;13,95;0,94;
T07;Homme;Kokorou;13,95;0,94;
T08;Homme;Kokorou;13,95;0,94;
T09;Femme;Kokorou;13,95;0,94;
T10;Femme;Kokorou;13,95;0,94;
T11;Femme;Kokorou;13,95;0,94;
T12;Homme;Kokorou;13,95;0,94;
T13;Homme;Kokorou;13,95;0,94;
T14;Homme;Kokorou;13,95;0,94;
T15;Homme;Kokorou;13,95;0,94;
T16;Homme;Kokorou;13,95;0,94;
T17;Homme;Kokorou;13,95;0,94;
T18;Homme;Kokorou;13,95;0,94;
T19;Homme;Téra;14,00776;0,75306;
T20;Homme;Téra;14,00776;0,75306;
T21;Homme;Téra;14,00776;0,75306;
T22;Homme;Téra;14,00776;0,75306;
T23;Homme;Téra;14,00776;0,75306;
T24;Homme;Téra;14,00776;0,75306;
T25;Homme;Téra;14,00776;0,75306;
T26;Homme;Téra;14,00776;0,75306;
T27;Homme;Téra;14,00776;0,75306;
T28;Homme;Téra;14,00776;0,75306;
T29;Homme;Téra;14,00776;0,75306;
T30;Homme;Téra;14,00776;0,75306;
T31;Homme;Téra;14,00776;0,75306;
T347;Homme;Téra;14,00776;0,75306;
T33;Homme;Téra;14,00776;0,75306;
T34;Homme;Téra;14,00776;0,75306;
T35;Femme;Téra;14,00776;0,75306;
T36;Femme;Téra;14,00776;0,75306;
T37;Homme;Téra;14,00776;0,75306;
T38;Homme;Téra;14,00776;0,75306;
T39;Femme;Téra;14,00776;0,75306;
T40;Homme;Téra;14,00776;0,75306;
T41;Homme;Téra;14,00776;0,75306;
T42;Homme;Téra;14,00776;0,75306;
T43;Homme;Téra;14,00776;0,75306;
T44;Femme;Téra;14,00776;0,75306;
T45;Homme;Téra;14,00776;0,75306;
T46;Homme;Téra;14,00776;0,75306;
T47;Homme;Téra;14,00776;0,75306;
T48;Homme;Téra;14,00776;0,75306;
T49;Homme;Téra;14,00776;0,75306;
